IBOV - Carteira do Dia 07/04/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;199.733.824;0,394;
ALPA4;ALPARGATAS;PN      N1;225.463.777;0,256;
ABEV3;AMBEV S/A;ON;4.359.908.680;2,919;
AMER3;AMERICANAS;ON      NM;571.352.399;0,774;
ASAI3;ASSAI;ON      NM;794.310.097;0,580;
AZUL4;AZUL;PN      N2;327.741.172;0,346;
B3SA3;B3;ON      NM;6.065.856.318;4,312;
BIDI11;BANCO INTER;UNT     N2;577.852.934;0,489;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,154;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,775;
BRML3;BR MALLS PAR;ON      NM;834.170.584;0,340;
BBDC3;BRADESCO;ON  EJ  N1;1.378.842.305;1,078;
BBDC4;BRADESCO;PN  EJ  N1;4.691.427.537;4,444;
BRAP4;BRADESPAR;PN      N1;251.414.753;0,380;
BBAS3;BRASIL;ON      NM;1.420.530.937;2,139;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,504;
BRFS3;BRF SA;ON      NM;1.081.759.800;0,865;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,464;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,430;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,675;
CMIG4;CEMIG;PN  EJ  N1;1.114.214.662;0,759;
CIEL3;CIELO;ON      NM;1.144.359.228;0,166;
COGN3;COGNA ON;ON      NM;1.828.106.676;0,232;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,529;
CSAN3;COSAN;ON      NM;1.169.237.744;1,219;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,280;
CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,297;
CVCB3;CVC BRASIL;ON      NM;224.231.429;0,158;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,207;
DXCO3;DEXCO;ON      NM;295.712.871;0,180;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,115;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,633;
ELET6;ELETROBRAS;PNB     N1;242.987.127;0,421;
EMBR3;EMBRAER;ON      NM;734.558.205;0,468;
ENBR3;ENERGIAS BR;ON  ED  NM;230.931.405;0,230;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,542;
ENEV3;ENEVA;ON      NM;1.261.568.398;0,835;
EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0,500;
EQTL3;EQUATORIAL;ON      NM;1.128.906.085;1,345;
EZTC3;EZTEC;ON      NM;101.618.236;0,082;
FLRY3;FLEURY;ON      NM;303.425.821;0,218;
GGBR4;GERDAU;PN      N1;1.097.534.498;1,475;
GOAU4;GERDAU MET;PN      N1;698.275.321;0,375;
GOLL4;GOL;PN      N2;167.095.214;0,126;
NTCO3;GRUPO NATURA;ON      NM;844.296.775;0,977;
SOMA3;GRUPO SOMA;ON      NM;489.194.623;0,315;
HAPV3;HAPVIDA;ON      NM;4.411.767.198;2,265;
HYPE3;HYPERA;ON  EJ  NM;410.253.528;0,713;
IGTI11;IGUATEMI S.A;UNT     N1;169.637.560;0,161;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,191;
ITSA4;ITAUSA;PN      N1;4.736.048.447;2,198;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.780.002.924;5,723;
JBSS3;JBS;ON      NM;1.290.736.673;2,173;
JHSF3;JHSF PART;ON      NM;305.915.142;0,090;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,858;
RENT3;LOCALIZA;ON  EJ  NM;593.944.309;1,571;
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,380;
LWSA3;LOCAWEB;ON      NM;431.783.548;0,175;
LREN3;LOJAS RENNER;ON      NM;979.060.006;1,186;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,859;
MRFG3;MARFRIG;ON      NM;348.234.011;0,333;
CASH3;MELIUZ;ON      NM;548.153.725;0,059;
BEEF3;MINERVA;ON      NM;254.073.639;0,155;
MRVE3;MRV;ON      NM;294.643.879;0,159;
MULT3;MULTIPLAN;ON      N2;272.718.548;0,304;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,181;
PETR3;PETROBRAS;ON      N2;2.703.343.822;4,231;
PETR4;PETROBRAS;PN      N2;4.566.442.248;6,619;
PRIO3;PETRORIO;ON      NM;839.159.130;0,885;
PETZ3;PETZ;ON      NM;301.553.522;0,240;
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,031;
QUAL3;QUALICORP;ON      NM;277.027.077;0,182;
RADL3;RAIADROGASIL;ON  EJ  NM;1.071.076.905;1,134;
RDOR3;REDE D OR;ON  EJ  NM;562.360.943;1,224;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,986;
SBSP3;SABESP;ON      NM;340.001.934;0,766;
SANB11;SANTANDER BR;UNT;362.703.399;0,577;
CSNA3;SID NACIONAL;ON;642.398.790;0,720;
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,423;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,801;
TAEE11;TAESA;UNT     N2;218.568.234;0,431;
VIVT3;TELEF BRASIL;ON  EJ;433.476.952;1,074;
TIMS3;TIM;ON  EJ  NM;808.619.532;0,514;
